Name,Id,# Streams,Streams %,# Streams change,Streams change %,# Downloads,Downloads %,# Downloads change,Downloads change %
WHAT CAN I DO,1576796,10058,63.7,10058,100,,,,
JAY SHIVAJI,1576799,39330,18.5,2933,100,,,,
Ambernath Se Thane,1488434,1205,7.6,1197,14962.5,,,,
Hip Hop ka banuga badshah,1487891,543,3.4,267,96.7,,,,
Sunn Bro,1589856,400,1.1,187,100,,,,
Hate Kar,1487532,184,1.1,124,206.6,,,,
TUJH BIN,1659525,180,1.1,180,100,,,,
Kaisi Yeh Duniya ?,1503178,147,0.9,147,100,,,,
Meri Public,1487489,91,0.5,81,810,,,,
Tre Saaso me,1654740,53,0.3,53,100,,,,
Tera Sath Tha,1589945,41,0.2,41,100,,,,
Unfollow,1589757,40,0.2,40,100,,,,
ABBY IN THE ZONE,1654995,36,0.2,36,100,,,,
SUNN SAMEER,1503160,23,0.1,23,100,,,,
PREM PANCHHEE,1649968,15,0,15,100,,,,
Kaamfit,1589698,14,0,14,100,,,,
612 KA LASHKAR,1654739,10,0,10,100,,,,
Tre Hassi,1654716,8,0,8,100,,,,
HUSTLE,1650138,6,0,6,100,,,,
SHOT,1639686,4,0,4,100,,,,
FAST FLOW,1644058,4,0,4,100,,,,
Beila nachle,1657194,1,0,1,100,,,,
